order_id,order_date,customer_name,email,category,revenue,quantity,Unnamed: 7,col8,Column 9
ORD-1132,11/12/2024,Michael Harris,michael.harris@outlook.com,Home & Garden,$1978,49.2,,N,Southeast
ORD-1083,13-07-2023,Joseph Jackson,joseph.jackson@yahoo.com,Food & Beverage,"$2,156.72",12,672,,Northeast
ORD-1179,27-06-2022,JANE GARCIA,jane.garcia@gmail.com,Books,2198.6,45,,,Midwest
ORD-1153,02/25/2024,EMILY BROWN ,emily.brown@hotmail.com,Electronics,1959.64,34,171,Yes,Midwest
ORD-1141,03/26/2024, James Thomas,,Sports,532.6,37,706,0,Southeast
ORD-1122,18-07-2023,james wright,james.wright@yahoo.com,Food & Beverage,"$2,071.87",,,N,West
ORD-1094,2023-08-10,richard green,,Food & Beverage,$1448,,N/A,,Southwest
ORD-1112,2024-07-20,Paul Smith,paul.smith@outlook.com,Electronics,$626,39,N/A,N,Northeast
ORD-1003,01/26/2022,James Allen,,Toys,$416,37,N/A,1,Northeast
ORD-1102,05/05/2024, PAUL WRIGHT,,Clothing,1643.37,16,N/A,,Southwest
ORD-1071,26-02-2023,SANDRA GREEN,sandra.green@gmail.com,Toys,2026.44,42,,Yes,Northeast
ORD-1018,12/04/2022,KAREN YOUNG,karen.young@yahoo.com,Beauty,71.72,15,,No,Midwest
ORD-1033,12/16/2022,EMILY MARTIN,emily.martin@hotmail.com,Food & Beverage,"$1,296.40",15.4,,,Southwest
ORD-1143,23-05-2024,Daniel Taylor,daniel.taylor@company.com,Toys,$1573,38,,0,Southwest
ORD-1044,24-09-2024,charles brown,charles.brown@hotmail.com,Home & Garden,1211.42,27,N/A,0,Southeast
ORD-1138,03/11/2022,richard white,richard.white@company.com,Food & Beverage,1616.7,1,N/A,,Midwest
ORD-1090,06/23/2022,Robert Baker,robert.baker@yahoo.com,Sports,"$2,277.67",19,N/A,,Southeast
ORD-1016,2022-12-15,William Miller,william.miller@gmail.com,Beauty,$1064,45,4,Yes,Midwest
ORD-1078,01/10/2022,Donald Thomas,donald.thomas@outlook.com,Food & Beverage,$943.53,46,,1,Southeast
ORD-1088,2022-02-07,Michael Wright,michael.wright@gmail.com,Home & Garden,$733,24,N/A,1,Southwest
ORD-1038,10-04-2022,Betty Brown,betty.brown@yahoo.com,Books,"$1,384.46",44,,,Midwest
ORD-1176,06-03-2023,jane scott,jane.scott@outlook.com,Sports,$596,28,,Yes,Northeast
ORD-1095,14-02-2022,richard thompson,,Home & Garden,1497.82,49,,,Southwest
ORD-1088,2022-02-07,Michael Wright,michael.wright@gmail.com,Home & Garden,$733,24,N/A,1,Southwest
ORD-1120,09/15/2022,christopher johnson ,christopher.johnson@gmail.com,Toys,1036.86,40,,Yes,Northeast
ORD-1068,11-12-2023,Richard Smith,richard.smith@hotmail.com,Sports,"$2,112.77",33,,N,West
ORD-1015,02/24/2022,charles scott,charles.scott@company.com,Home & Garden,$150000,46,,Yes,Midwest
ORD-1087,03/28/2022, James Davis,james.davis@company.com,Clothing,1939.66,29,220,,Southeast
ORD-1076,2023-09-17,betty wright,betty.wright@outlook.com,Beauty,493.1,39,,,Midwest
ORD-1108,06/03/2024,betty lewis,betty.lewis@yahoo.com,Clothing,1704.05,33,,,Southwest
ORD-1013,2024-10-19,JANE THOMPSON,jane.thompson@yahoo.com,Toys,2354.57,46,,N,West
ORD-1062,28-07-2024, Michael Williams ,michael.williams@yahoo.com,Electronics,1470.3,23,,0,Midwest
ORD-1139,2022-04-10,SUSAN JONES,susan.jones@outlook.com,Electronics,1044.92,11,N/A,N,Southwest
ORD-1066,05/11/2023,BARBARA BROWN,barbara.brown@gmail.com,Clothing,"$2,461.27",,210,No,Southeast
ORD-1072,06/04/2022,EMILY JOHNSON,emily.johnson@yahoo.com,Beauty,$2295,43,794,Y,Midwest
ORD-1126,05/05/2022,James Wright,james.wright@outlook.com,Beauty,$1468,48,791,No,Northeast
ORD-1117,08/18/2023,MARY SMITH,mary.smith@outlook.com,Toys,1742.11,32,N/A,1,Midwest
ORD-1164,26-09-2023,mary martin ,mary.martin@yahoo.com,Food & Beverage,1610.2,21,,0,Midwest
ORD-1029,15-04-2024,LISA WALKER ,,Books,2099.68,39,N/A,,Northeast
ORD-1156,08/01/2024, Sarah Thompson,sarah.thompson@gmail.com,Toys,181.63,20,290,1,Northeast
ORD-1182,03-12-2024,Richard Walker,richard.walker@outlook.com,Books,2177.5,,359,Yes,Midwest
ORD-1151,2024-09-18, michael smith,michael.smith@outlook.com,Home & Garden,1575.14,33,,0,Northeast
ORD-1160,2022-03-26, PAUL CLARK,paul.clark@gmail.com,Books,"$2,411.94",3,,,Northeast
ORD-1162,04/21/2022,SARAH SMITH,,Food & Beverage,1718.85,22,87,N,Northeast
ORD-1131,08-05-2024,THOMAS ROBINSON ,thomas.robinson@yahoo.com,Books,735.41,25,,,Southeast
ORD-1008,08-09-2024,David Robinson,david.robinson@hotmail.com,Sports,"$1,298.76",,,1,Northeast
ORD-1055,2023-11-24,ASHLEY ALLEN,ashley.allen@hotmail.com,Beauty,$299.14,27,N/A,0,West
ORD-1089,11-03-2022,jessica clark,jessica.clark@gmail.com,Clothing,1001.42,23,,0,Southwest
ORD-1157,2022-09-12,BETTY LEWIS,betty.lewis@yahoo.com,Electronics,1370.93,33.2,,0,Northeast
ORD-1114,01/12/2023,Lisa Anderson,lisa.anderson@hotmail.com,Beauty,2371.82,27,N/A,0,Southwest
ORD-1070,2023-08-02,CHRISTOPHER LEWIS,christopher.lewis@outlook.com,Electronics,$764,42,58,N,Midwest
ORD-1024,12/17/2024,PAUL WHITE,paul.white@company.com,Beauty,2122.36,11,,1,West
ORD-1158,14-09-2022, Sandra Young,,Toys,159.14,38,729,N,Northeast
ORD-1081,12/22/2022,Jessica Thompson ,jessica.thompson@gmail.com,Clothing,$2452,22,17,N,Midwest
ORD-1028,2023-02-16,john williams,,Electronics,$537,47.6,,,West
ORD-1155,24-07-2022,JOHN DAVIS,,Toys,98.06,24,,No,Midwest
ORD-1036,08/04/2023,Mary Allen,,Clothing,99999.99,41,452,Yes,Northeast
ORD-1119,06-06-2024,Richard Clark,richard.clark@hotmail.com,Home & Garden,1226.67,35,,,Southeast
ORD-1146,16-04-2022, michael walker,michael.walker@gmail.com,Clothing,770.72,44,,N,Northeast
ORD-1178,2023-07-09, Thomas Thompson,thomas.thompson@company.com,Beauty,2349.73,31,,,Southwest
ORD-1145,2022-07-07,Sandra Martin,,Home & Garden,"$2,093.39",18,N/A,,West
ORD-1148,2022-02-05,CHRISTOPHER HALL ,christopher.hall@outlook.com,Clothing,540.51,28,,,Southeast
ORD-1101,18-11-2024,JAMES ROBINSON,james.robinson@yahoo.com,Beauty,1227.62,23,574,,Northeast
ORD-1020,01-07-2024,Emily Clark,emily.clark@hotmail.com,Sports,"$2,460.75",43,N/A,,Northeast
ORD-1007,2024-08-18,Ashley Thomas,,Home & Garden,"$2,367.90",28,,Yes,Southeast
ORD-1016,2022-12-15,William Miller,william.miller@gmail.com,Beauty,$1064,45,4,Yes,Midwest
ORD-1134,02-05-2022,BARBARA WILLIAMS,barbara.williams@outlook.com,Clothing,$1307,,,,Midwest
ORD-1118,2024-10-19,Charles Brown,charles.brown@yahoo.com,Beauty,1040.69,15,N/A,Y,Midwest
ORD-1147,05/05/2023,CHARLES SMITH,charles.smith@yahoo.com,Beauty,$580.08,9,,N,Midwest
ORD-1061,2023-11-09,Christopher Baker,christopher.baker@yahoo.com,Toys,$2070,31,,1,West
ORD-1049,2022-04-15,BARBARA JONES,,Books,$1527,30,N/A,,Southwest
ORD-1080,22-03-2023,Michael Brown,michael.brown@company.com,Clothing,367.51,34,630,No,Southwest
ORD-1105,05/23/2024,SARAH TAYLOR,sarah.taylor@yahoo.com,Home & Garden,"$1,175.37",,116,Yes,West
ORD-1074,03-03-2022,NANCY THOMPSON,,Books,$2378,50,,No,Southeast
ORD-1137,10-04-2022, richard lewis,richard.lewis@yahoo.com,Clothing,$1767,33,,Yes,Midwest
ORD-1110,06-07-2023,betty smith,betty.smith@gmail.com,Home & Garden,1753.96,42,,,Northeast
ORD-1023,05-04-2023,NANCY ANDERSON ,,Electronics,"$2,125.85",7,N/A,0,West
ORD-1184,2024-11-27,daniel allen,daniel.allen@hotmail.com,Toys,762.34,19,,N,Northeast
ORD-1047,13-09-2024, Sarah Thompson,sarah.thompson@yahoo.com,Toys,$1956,32,,N,Midwest
ORD-1115,2024-09-05,BARBARA JONES,,Beauty,"$2,145.28",42,,0,West
ORD-1034,2023-04-04,RICHARD ALLEN,richard.allen@hotmail.com,Sports,$1867,49,,,Midwest
ORD-1079,2023-02-02,susan harris ,,Sports,2351.16,30,,,Southeast
ORD-1056,02-06-2024,Christopher Brown,christopher.brown@hotmail.com,Beauty,"$1,117.29",30,,1,Southwest
ORD-1045,09/13/2024,william wright,william.wright@company.com,Food & Beverage,1653.25,45,,1,Midwest
ORD-1059,28-08-2022,michael martin,michael.martin@yahoo.com,Beauty,117.98,46,888,,Northeast
